class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21
Victory,0.388376921415329,0.8341274857521057,4.64711490621994e-07,0.4353099763393402,0.8285319805145264,-0.023658500984311104,0.471403032541275,0.790101170539856,-0.03451162204146385,0.4719015061855316,0.737913966178894,-0.045827094465494156,0.4716620147228241,0.6926631331443787,-0.05505480244755745,0.49608686566352844,0.6369965672492981,-0.0168965645134449,0.5340631604194641,0.5530934929847717,-0.034992750734090805,0.5567799806594849,0.5014552474021912,-0.045670174062252045,0.5728797912597656,0.4569780230522156,-0.05048004910349846,0.4623269736766815,0.610060453414917,-0.019418912008404732,0.47256022691726685,0.4850606322288513,-0.04157686233520508,0.4784506559371948,0.4102689027786255,-0.05529076233506203,0.4820826053619385,0.3512819707393646,-0.05973881483078003,0.42609402537345886,0.6144933104515076,-0.024528665468096733,0.439135879278183,0.59297114610672,-0.05701686069369316,0.44114962220191956,0.6552612781524658,-0.06324127316474915,0.4377647042274475,0.6995419263839722,-0.055650632828474045,0.39127451181411743,0.6351132988929749,-0.031169451773166656,0.4076871871948242,0.6102705001831055,-0.051526524126529694,0.41466331481933594,0.6506636738777161,-0.04741188511252403,0.4158662259578705,0.6843507289886475,-0.03713715448975563
Victory,0.41570496559143066,0.8312444686889648,4.179366328571632e-07,0.46199336647987366,0.8279446959495544,-0.0187360979616642,0.5010492205619812,0.7911667823791504,-0.028082218021154404,0.5010238885879517,0.7388365864753723,-0.03925685957074165,0.4911402761936188,0.7027396559715271,-0.049294862896203995,0.5208063721656799,0.6424936652183533,-0.012983405962586403,0.5608028173446655,0.5615501999855042,-0.03221626579761505,0.5859485864639282,0.5123552083969116,-0.04352394863963127,0.6042329668998718,0.47100865840911865,-0.048412080854177475,0.4886851906776428,0.6150864362716675,-0.01909727044403553,0.5038812756538391,0.48955202102661133,-0.04260797053575516,0.509772002696991,0.4126827120780945,-0.05733228847384453,0.5116227865219116,0.3513665199279785,-0.06197376921772957,0.45333370566368103,0.6190152764320374,-0.027475843206048012,0.4649529755115509,0.5922405123710632,-0.06021230295300484,0.4690002501010895,0.656548798084259,-0.06653442233800888,0.4682351350784302,0.7037380933761597,-0.05872958526015282,0.41805240511894226,0.6406773924827576,-0.037011176347732544,0.43089157342910767,0.6067618131637573,-0.055464088916778564,0.44059041142463684,0.644733190536499,-0.049832314252853394,0.4448184370994568,0.6798533797264099,-0.038873881101608276
Victory,0.44094955921173096,0.8348488807678223,3.9227404613484396e-07,0.4861811101436615,0.8327085971832275,-0.0216540340334177,0.5268679857254028,0.80042564868927,-0.031312454491853714,0.5309101343154907,0.7532606720924377,-0.04206172749400139,0.5253450274467468,0.7128495573997498,-0.05143999308347702,0.544887125492096,0.6491875648498535,-0.012647125869989395,0.582140326499939,0.5765751004219055,-0.03024565614759922,0.6068843007087708,0.5315662622451782,-0.041052885353565216,0.6243970394134521,0.4937780499458313,-0.04540765658020973,0.5122988224029541,0.619939386844635,-0.016777774319052696,0.5252460837364197,0.4971749484539032,-0.03867942467331886,0.5315264463424683,0.42395150661468506,-0.05340305715799332,0.5334414839744568,0.36615684628486633,-0.05789785087108612,0.4771377444267273,0.6226499080657959,-0.02347225695848465,0.4937024712562561,0.6135308146476746,-0.056843698024749756,0.49734893441200256,0.6843234896659851,-0.06447699666023254,0.4949357211589813,0.7316601872444153,-0.05698661506175995,0.44337567687034607,0.6433339715003967,-0.031449779868125916,0.4593706727027893,0.61953204870224,-0.05088958516716957,0.47087568044662476,0.6583040952682495,-0.046335142105817795,0.4766107499599457,0.693204402923584,-0.0358358696103096
Victory,0.465687096118927,0.8481562733650208,3.8628974152743467e-07,0.5103598237037659,0.8464320302009583,-0.020622286945581436,0.5486760139465332,0.816118597984314,-0.030925869941711426,0.5554707646369934,0.7717907428741455,-0.04292154684662819,0.5472236275672913,0.7281947135925293,-0.053186461329460144,0.5672717690467834,0.6689267158508301,-0.011307465843856335,0.6062973737716675,0.6006600260734558,-0.027661805972456932,0.6293413043022156,0.5572380423545837,-0.03771733492612839,0.6480340361595154,0.5203473567962646,-0.042349424213171005,0.536829948425293,0.6392829418182373,-0.016130205243825912,0.5520157814025879,0.525816023349762,-0.038651298731565475,0.5597308278083801,0.45199820399284363,-0.05417870730161667,0.5648776888847351,0.39250847697257996,-0.05982785299420357,0.5032996535301208,0.640342652797699,-0.023361653089523315,0.5230650901794434,0.6284158229827881,-0.058007217943668365,0.5255165100097656,0.7019023299217224,-0.0659959688782692,0.5230700373649597,0.7539525628089905,-0.058773066848516464,0.47244566679000854,0.6593291163444519,-0.03178662434220314,0.49267199635505676,0.6404539346694946,-0.05325058102607727,0.5073842406272888,0.6773567795753479,-0.05089835077524185,0.5168935656547546,0.7120899558067322,-0.04202466458082199
Victory,0.47072339057922363,0.8532217144966125,4.076354116477887e-07,0.5143067836761475,0.8577086925506592,-0.023885492235422134,0.5518262982368469,0.8327873349189758,-0.035460252314805984,0.561955988407135,0.7915512323379517,-0.04764416813850403,0.558147132396698,0.7373232841491699,-0.05777939781546593,0.579275906085968,0.6849206686019897,-0.014438096433877945,0.6206710338592529,0.6235478520393372,-0.030326811596751213,0.6446655988693237,0.5853850245475769,-0.040183525532484055,0.6634542942047119,0.5514539480209351,-0.044659048318862915,0.5503664016723633,0.6487383842468262,-0.01729881390929222,0.5669816732406616,0.5392836332321167,-0.03903474658727646,0.57551509141922,0.4698891043663025,-0.054225943982601166,0.5813073515892029,0.4119354486465454,-0.059713490307331085,0.5157741904258728,0.6468376517295837,-0.022719986736774445,0.5352863669395447,0.6436586976051331,-0.05748218670487404,0.5362778902053833,0.7217108011245728,-0.06568971276283264,0.5328546762466431,0.7739510536193848,-0.058590054512023926,0.4823153018951416,0.6634425520896912,-0.029507556930184364,0.5005142092704773,0.6469999551773071,-0.05221777409315109,0.5159947872161865,0.6784034371376038,-0.05111471191048622,0.5275402665138245,0.7075586318969727,-0.04297998175024986
Victory,0.4670237898826599,0.852828323841095,3.967381587699492e-07,0.5116719007492065,0.8555436730384827,-0.021601010113954544,0.549257755279541,0.8291163444519043,-0.033432696014642715,0.5607923269271851,0.7887611389160156,-0.046418607234954834,0.5553851127624512,0.7396094799041748,-0.057677533477544785,0.5717577338218689,0.6818368434906006,-0.01610025204718113,0.6148867607116699,0.6203806400299072,-0.032091446220874786,0.6379793286323547,0.5821853876113892,-0.04178735613822937,0.6564569473266602,0.5470219850540161,-0.04644009470939636,0.5424206256866455,0.6501225829124451,-0.020266542211174965,0.5608070492744446,0.5385788083076477,-0.04301160201430321,0.5689494013786316,0.4671890139579773,-0.05817731097340584,0.5745497941970825,0.4084986448287964,-0.06387848407030106,0.5080524682998657,0.6498043537139893,-0.026417920365929604,0.5303765535354614,0.6411374807357788,-0.060256313532590866,0.5298123359680176,0.7182579040527344,-0.06677587330341339,0.5247225761413574,0.7712250351905823,-0.05918373167514801,0.4753003418445587,0.6682814359664917,-0.03376593068242073,0.4955674707889557,0.6441897749900818,-0.05466081574559212,0.5092364549636841,0.6790545582771301,-0.05139095336198807,0.5184245109558105,0.7145000696182251,-0.042164210230112076
Victory,0.46055808663368225,0.861656129360199,3.53913748085688e-07,0.5012257099151611,0.8542695045471191,-0.019507141783833504,0.5374141335487366,0.8222165107727051,-0.03000653348863125,0.5462995767593384,0.788475751876831,-0.04220634326338768,0.5411944389343262,0.7522983551025391,-0.05325983092188835,0.5571039915084839,0.6760158538818359,-0.015593363903462887,0.5912771224975586,0.5950326919555664,-0.030918024480342865,0.6129420399665833,0.5520992279052734,-0.040053706616163254,0.6300387978553772,0.5157684087753296,-0.043907564133405685,0.5254085063934326,0.6533619165420532,-0.020849812775850296,0.5353794693946838,0.5339041948318481,-0.042498357594013214,0.5425466299057007,0.4623528718948364,-0.05745384842157364,0.5471886396408081,0.404793381690979,-0.063193678855896,0.49018651247024536,0.6581760048866272,-0.027966301888227463,0.5126745104789734,0.6529431939125061,-0.06140536814928055,0.5151917338371277,0.7267116904258728,-0.06924901902675629,0.5117077231407166,0.7766293287277222,-0.06263129413127899,0.4575284719467163,0.679341733455658,-0.03603256121277809,0.4765206575393677,0.6511317491531372,-0.05582772567868233,0.48978424072265625,0.6844108700752258,-0.05233071371912956,0.4978812336921692,0.718157947063446,-0.04323848336935043
Victory,0.44623953104019165,0.8785871267318726,4.1509611037326977e-07,0.4841862618923187,0.8676472306251526,-0.022655818611383438,0.5177571773529053,0.831369161605835,-0.03372258320450783,0.5245862603187561,0.7963294386863708,-0.045601554214954376,0.5233188271522522,0.7606617212295532,-0.055646445602178574,0.5301886796951294,0.6751542687416077,-0.01811794564127922,0.5629818439483643,0.5892138481140137,-0.035839181393384933,0.5849606394767761,0.5379987955093384,-0.04620347544550896,0.6015975475311279,0.49565595388412476,-0.050502654165029526,0.49579665064811707,0.6551668047904968,-0.02213943749666214,0.5022751688957214,0.5349798798561096,-0.045204054564237595,0.5067376494407654,0.45961809158325195,-0.05958538129925728,0.5074259042739868,0.4017878472805023,-0.06407275795936584,0.4601188600063324,0.6629831194877625,-0.02854154445230961,0.4813911020755768,0.6592147350311279,-0.06271424144506454,0.48653435707092285,0.7289091944694519,-0.06959819048643112,0.4842197000980377,0.7740429043769836,-0.06190945953130722,0.42737025022506714,0.6892363429069519,-0.0363687165081501,0.4495973587036133,0.6761118769645691,-0.05752185359597206,0.46215829253196716,0.7151442766189575,-0.05394621193408966,0.46789807081222534,0.7453727722167969,-0.044080279767513275
Victory,0.41785627603530884,0.8934975862503052,4.7516633117083984e-07,0.45646944642066956,0.8761014938354492,-0.023455720394849777,0.49168410897254944,0.8300026655197144,-0.03576774522662163,0.4876885414123535,0.7859772443771362,-0.04856006056070328,0.47696980834007263,0.7510231137275696,-0.059209030121564865,0.4934028387069702,0.6830995082855225,-0.02102864906191826,0.5229143500328064,0.5870727300643921,-0.039729852229356766,0.5435343980789185,0.5312095880508423,-0.05028355494141579,0.5606489181518555,0.4853350818157196,-0.055249109864234924,0.4556983709335327,0.6655003428459167,-0.0248995553702116,0.45298460125923157,0.5371385812759399,-0.04960876703262329,0.4534263610839844,0.4598052501678467,-0.0637945607304573,0.45293688774108887,0.3995607793331146,-0.06857750564813614,0.42025864124298096,0.6756845116615295,-0.03103066049516201,0.4421733021736145,0.6557523012161255,-0.06670132279396057,0.44782954454421997,0.725373387336731,-0.0721469298005104,0.4448162615299225,0.7704524397850037,-0.06377863138914108,0.38858529925346375,0.70390385389328,-0.03858358412981033,0.4142390787601471,0.6886869668960571,-0.062124647200107574,0.4265974462032318,0.7365235686302185,-0.05846227705478668,0.4305060803890228,0.7703686356544495,-0.048420730978250504
Victory,0.38081374764442444,0.9112282991409302,4.920443075207004e-07,0.4218904972076416,0.8916763663291931,-0.023533085361123085,0.457501083612442,0.8429715633392334,-0.03530736267566681,0.4533815383911133,0.7987298369407654,-0.04787151888012886,0.43427470326423645,0.772384762763977,-0.05888164043426514,0.45690882205963135,0.6778514981269836,-0.015879416838288307,0.48642683029174805,0.5860695838928223,-0.03410106897354126,0.5062196850776672,0.5268059968948364,-0.045802041888237,0.5207192301750183,0.47820621728897095,-0.05186178907752037,0.4197250008583069,0.6635456085205078,-0.020070834085345268,0.4146205186843872,0.5414029359817505,-0.04372081905603409,0.4102018475532532,0.4649795889854431,-0.05948343500494957,0.4045664072036743,0.40516525506973267,-0.0652686357498169,0.3847079277038574,0.6830836534500122,-0.026672357693314552,0.39839836955070496,0.6616207361221313,-0.06123135983943939,0.4073275625705719,0.7302097082138062,-0.06834720075130463,0.40851110219955444,0.7790222764015198,-0.060880985110998154,0.3544147312641144,0.7217380404472351,-0.03485322743654251,0.37050947546958923,0.705722451210022,-0.057886768132448196,0.3863070607185364,0.7470189929008484,-0.055351123213768005,0.39548012614250183,0.7803163528442383,-0.045698799192905426
